date,ticker,in_predicted_top,in_actual_top,in_predicted_bottom,in_actual_bottom,y_pred,y_true
2025-01-31,AAF.L,1,0,0,0,0.01261708,-0.0124651799912378
2025-01-31,AAL.L,1,0,0,0,0.011661138,-0.0186935404195907
2025-01-31,ABF.L,1,0,0,0,0.026586706,-0.0036804051424496
2025-01-31,ADM.L,0,1,0,0,-0.002003869,0.0636329397124568
2025-01-31,ALW.L,0,0,0,1,-0.0010792244,-0.0482882715716924
2025-01-31,ANTO.L,0,0,0,0,-0.0026723768,0.0049274920162114
2025-01-31,AUTO.L,0,0,0,0,0.0050114775,-0.0187247402098406
2025-01-31,AV.L,0,1,0,0,-0.0025867887,0.0591440228971908
2025-01-31,AZN.L,0,0,1,0,-0.005953401,0.0551584913306604
2025-01-31,BA.L,0,1,0,0,-0.0015436069,0.149101385343066
2025-01-31,BAB.L,0,1,0,0,-0.0037480844,0.2462825017313377
2025-01-31,BARC.L,1,0,0,0,0.01706171,0.0483347643605462
2025-01-31,BATS.L,0,0,0,0,0.00043625353,-0.0344072465237941
2025-01-31,BBOX.L,0,0,1,0,-0.008487145,0.0082133680149478
2025-01-31,BEZ.L,0,0,0,0,0.005351543,0.0459427690674982
2025-01-31,BKG.L,0,0,0,1,0.0024502832,-0.0726429712365618
2025-01-31,BLND.L,0,0,1,0,-0.005673199,-0.0445388351086427
2025-01-31,BNZL.L,0,0,0,0,0.002602873,-0.0232018360996086
2025-01-31,BP.L,0,0,0,0,0.0017486749,0.0200176945606569
2025-01-31,BRBY.L,1,0,0,1,0.01458074,-0.0889261744966442
2025-01-31,BT-A.L,1,1,0,0,0.0063217836,0.1261452483917475
2025-01-31,BTRW.L,0,0,1,1,-0.013016555,-0.0632272200945106
2025-01-31,CCEP.L,0,1,1,0,-0.0051356754,0.0656249551639942
2025-01-31,CCH.L,0,1,0,0,0.004211184,0.1957295840666708
2025-01-31,CNA.L,0,0,0,0,0.0027879267,0.0491227449953211
2025-01-31,CPG.L,0,0,0,0,-0.00043372854,-0.0064492763833499
2025-01-31,CTEC.L,0,0,1,0,-0.017638184,0.0502022369976598
2025-01-31,DCC.L,0,0,1,0,-0.00957412,-0.0428570095183812
2025-01-31,DPLM.L,0,0,0,0,0.0038600643,-0.0123022371975695
2025-01-31,EDV.L,0,0,0,1,0.00025905858,-0.0602556075446988
2025-01-31,ENT.L,0,1,0,0,-0.0001010765,0.0563100290816838
2025-01-31,EXPN.L,0,0,0,1,-0.0015082107,-0.0606438670020034
2025-01-31,EZJ.L,1,0,0,0,0.007379909,-0.0122645825665982
2025-01-31,FCIT.L,0,0,0,0,0.00075660244,-0.0353536334539765
2025-01-31,FRES.L,1,1,0,0,0.00960077,0.0668102737249976
2025-01-31,GAW.L,0,0,0,0,0.0016947879,-0.0178571428571429
2025-01-31,GSK.L,0,0,1,0,-0.006446026,0.0438883479621166
2025-01-31,HIK.L,0,0,0,1,0.003976371,-0.0575916314082719
2025-01-31,HLMA.L,0,0,0,1,0.0054740515,-0.0798554115712145
2025-01-31,HLN.L,0,1,0,0,0.002271768,0.0632505109862033
2025-01-31,HSBA.L,0,1,0,0,-0.0008517265,0.1039375122663734
2025-01-31,HSX.L,0,1,0,0,-0.003355978,0.0850869470988957
2025-01-31,HWDN.L,0,0,0,1,-0.005015625,-0.0578915510527326
2025-01-31,ICG.L,1,0,0,0,0.0070043984,-0.0371308941335808
2025-01-31,IHG.L,0,0,0,1,0.0011275541,-0.0824398630977543
2025-01-31,III.L,0,0,0,0,-0.0010190442,0.0135758635080351
2025-01-31,IMI.L,0,0,0,0,0.000572038,-0.0049701976269519
2025-01-31,INF.L,0,0,0,0,0.0006428063,-0.008541154565218
2025-01-31,ITRK.L,0,0,0,0,-0.00197454,0.0048923890435266
