,importance_mean
ret_5d,0.05810432
dist_252d_high,0.054681994
vol_120d,0.052821375
range_20d,0.052536096
range_5d,0.051138643
abvol_20d,0.049843147
ret_spread_5d_20d,0.04933361
ma_ratio_60_252,0.04520076
ret_252d,0.0435119
ret_120d,0.04327082
clv_5d,0.04248397
vol_20d,0.042303346
open_close_ret,0.041962262
ret_20d,0.04042337
rsi_14d,0.0389452
drawdown_60d,0.038659856
vol_60d,0.038348965
clv_20d,0.03817064
ret_60d,0.037295427
ma_ratio_20_60,0.03720608
ret_spread_20d_60d,0.0355095
volavg_20d,0.035108954
volavg_60d,0.033139773
