number,value,datetime_start,datetime_complete,duration,params_XGB_COLSAMPLE_BYTREE,params_XGB_GAMMA,params_XGB_LEARNING_RATE,params_XGB_MAX_DEPTH,params_XGB_MIN_CHILD_WEIGHT,params_XGB_N_ESTIMATORS,params_XGB_REG_ALPHA,params_XGB_REG_LAMBDA,params_XGB_SUBSAMPLE,user_attrs_CombinedScore_mean,user_attrs_DirectionalAccuracy_mean,user_attrs_RMSE_mean,user_attrs_SpearmanRankCorr_mean,user_attrs_TopKHitRate_mean,state
0,,2026-04-01 13:51:13.363108,2026-04-01 13:51:13.864155,0 days 00:00:00.501047,0.6624074561769746,0.6011150117432088,0.018559745019538266,5,18,500,0.3119890406724053,1.2323344486727978,0.779597545259111,,0.5208560207134187,0.08180698961094593,,0.21967836257309942,FAIL
1,,2026-04-01 13:51:13.865036,2026-04-01 13:51:14.459067,0 days 00:00:00.594031,0.6849356442713105,0.5247564316322378,0.028425398939327114,2,9,700,0.36364993441420124,1.7336180394137353,0.8497327922401265,,0.5207418672332242,0.08188029469535818,,0.22023391812865495,FAIL
2,0.34915027638696944,2026-04-01 13:51:14.459855,2026-04-01 13:51:15.041597,0 days 00:00:00.581742,0.7168578594140873,0.19967378215835974,0.014965254242886725,3,17,600,0.7327236865873834,2.8242799368681437,0.6418481581956126,0.34915027638696944,0.5192658846589969,0.08196422169279391,-0.007024320815609353,0.2558771929824561,COMPLETE
3,,2026-04-01 13:51:15.042523,2026-04-01 13:51:15.653446,0 days 00:00:00.610923,0.6682096494749166,0.8083973481164611,0.005433947661434237,4,20,600,0.13010318597055903,4.7955421490133325,0.7822634555704315,,0.5240377096160974,0.0816882905407689,,0.1979239766081871,FAIL
4,0.34033993703697885,2026-04-01 13:51:15.654638,2026-04-01 13:51:16.175321,0 days 00:00:00.520683,0.6488152939379115,0.2587799816000169,0.01703753611652567,2,19,500,0.9903538202225404,1.1375540844608736,0.7320457481218804,0.34033993703697885,0.5199478312405048,0.08191450213118741,-0.012997367336465254,0.2363157894736842,COMPLETE
5,,2026-04-01 13:51:16.176199,2026-04-01 13:51:17.298051,0 days 00:00:01.121852,0.6739417822102108,0.8948273504276488,0.012695844231167396,3,20,700,1.9391692555291171,4.100531293444458,0.7640130838029839,,0.528924073252461,0.08154871663432499,,0.1961988304093567,FAIL
6,,2026-04-01 13:51:17.299223,2026-04-01 13:51:18.025248,0 days 00:00:00.726025,0.6180909155642152,0.8287375091519293,0.0058590952117421715,5,9,700,0.6506606615265287,2.554709158757928,0.6587948587257435,,0.5240377096160974,0.08163028894900193,,0.19403508771929823,FAIL
7,0.3475786953411915,2026-04-01 13:51:18.026420,2026-04-01 13:51:18.614543,0 days 00:00:00.588123,0.9208787923016158,0.1987156815341724,0.013221162405354047,3,17,500,0.14910128735954165,4.947547746402069,0.6422772674924287,0.3475786953411915,0.5205161432172759,0.08197443956998204,-0.011022255568690855,0.2530116959064327,COMPLETE
8,,2026-04-01 13:51:18.615503,2026-04-01 13:51:19.007769,0 days 00:00:00.392266,0.9085081386743783,0.8631034258755935,0.017742382194617125,5,6,300,0.14808930346818072,2.4338629141770904,0.8187021504122962,,0.522333164161552,0.08174121837414224,,0.19403508771929823,FAIL
9,,2026-04-01 13:51:19.009010,2026-04-01 13:51:19.761407,0 days 00:00:00.752397,0.7300733288106989,0.4722149251619493,0.00560309536288792,3,19,700,1.4592123566761281,3.5502298854208525,0.6932946965146987,,0.5208558914342792,0.08176625811543031,,0.2274561403508772,FAIL
10,0.34114373269315545,2026-04-01 13:51:19.762602,2026-04-01 13:51:20.352548,0 days 00:00:00.589946,0.9083868719818244,0.02541912674409519,0.019542307433613428,4,11,300,0.9875911927287815,3.0909313175279762,0.7683831592708489,0.34114373269315545,0.5010789505394955,0.08320975857274122,-0.005093216304598963,0.24880116959064327,COMPLETE
11,,2026-04-01 13:51:20.353447,2026-04-01 13:51:20.788884,0 days 00:00:00.435437,0.8034282764658811,0.7555511385430487,0.015638444804668205,2,11,300,1.815132947852186,1.9971689165954998,0.694306794322898,,0.5240377096160974,0.0816208566174166,,0.19514619883040935,FAIL
12,,2026-04-01 13:51:20.790008,2026-04-01 13:51:21.247445,0 days 00:00:00.457437,0.9718790609370292,0.8036720768991145,0.008403117953477104,2,18,400,1.616240759128834,3.533615026041694,0.6483663861762013,,0.528924073252461,0.08157727793274347,,0.19403508771929823,FAIL
13,,2026-04-01 13:51:21.248567,2026-04-01 13:51:21.723864,0 days 00:00:00.475297,0.9584365199693973,0.4271077886262563,0.013141951020717808,5,8,400,0.6360069499437278,1.440207698110707,0.8422320465492188,,0.5214248462889484,0.08187291349953055,,0.23494152046783628,FAIL
