trial_number,objective_value,RF_N_ESTIMATORS,RF_MAX_DEPTH,RF_MIN_SAMPLES_LEAF,RF_MIN_SAMPLES_SPLIT,RF_MAX_FEATURES,RMSE_mean,DirectionalAccuracy_mean,SpearmanRankCorr_mean,TopKHitRate_mean,CombinedScore_mean
17,0.18059162745580137,300,3,20,20,sqrt,0.08179962658903155,0.5171450736144367,0.007661302300347156,0.2617348927875244,0.18059162745580137
19,0.18059162745580137,300,3,20,20,sqrt,0.08179962658903155,0.5171450736144367,0.007661302300347156,0.2617348927875244,0.18059162745580137
31,0.18059162745580137,300,3,20,20,sqrt,0.08179962658903155,0.5171450736144367,0.007661302300347156,0.2617348927875244,0.18059162745580137
21,0.18059162745580137,300,3,20,20,sqrt,0.08179962658903155,0.5171450736144367,0.007661302300347156,0.2617348927875244,0.18059162745580137
22,0.18059162745580137,300,3,20,20,sqrt,0.08179962658903155,0.5171450736144367,0.007661302300347156,0.2617348927875244,0.18059162745580137
15,0.18059162745580137,300,3,20,30,sqrt,0.08179962658903155,0.5171450736144367,0.007661302300347156,0.2617348927875244,0.18059162745580137
26,0.17994332892337536,300,4,20,20,sqrt,0.08203114616709857,0.5121038859611525,0.012274578049291282,0.25960038986354783,0.17994332892337536
13,0.17994332892337533,300,4,20,10,sqrt,0.08203114616709858,0.5121038859611525,0.012274578049291282,0.25960038986354783,0.17994332892337533
2,0.17979890686786165,200,3,30,10,log2,0.08177078055183444,0.5148563510952916,0.010310017040579501,0.25886939571150097,0.17979890686786165
37,0.17952108836133351,200,3,20,10,sqrt,0.08180766520818031,0.5142616453588126,0.011214086803710725,0.2577907732293697,0.17952108836133351
39,0.17920948038780904,300,4,25,20,log2,0.08200130971309931,0.5105343303945231,0.012208386097715095,0.25843079922027296,0.17920948038780904
24,0.17917684639879009,300,3,10,30,sqrt,0.08188598264888611,0.5148250219338536,0.010190462159389152,0.25726120857699797,0.17917684639879009
35,0.17891986372944024,300,3,15,20,sqrt,0.0818614081405038,0.5147217403186062,0.008406783717189281,0.25784600389863555,0.17891986372944024
32,0.17891986372944024,300,3,15,20,sqrt,0.0818614081405038,0.5147217403186062,0.008406783717189281,0.25784600389863555,0.17891986372944024
25,0.17888303901634667,500,3,25,40,sqrt,0.08175364610234251,0.5168039899845428,0.008226773747150879,0.25661793372319686,0.17888303901634667
18,0.17880786095057755,500,3,10,40,sqrt,0.08184057581624571,0.5143659384987307,0.00953214131064325,0.2569135802469136,0.17880786095057755
38,0.17865956209292785,400,3,10,50,0.4,0.08230419719414316,0.5175900594300169,0.007876745067742722,0.2560948667966212,0.17865956209292785
29,0.17859403379406752,600,4,5,40,sqrt,0.08215515108618057,0.5127975554885711,0.011456753564689032,0.2560038986354776,0.17859403379406752
27,0.1783701936156356,400,5,15,30,sqrt,0.0823052534285369,0.5072765289492992,0.00944917314924636,0.26003898635477585,0.1783701936156356
23,0.17825088902519454,400,4,15,20,sqrt,0.08208744775264895,0.5124750768290877,0.010942965510192504,0.2555360623781676,0.17825088902519454
11,0.17812726890890995,200,5,25,10,log2,0.0822692867494338,0.5083731663649349,0.008308233151815895,0.2595126705653022,0.17812726890890995
10,0.17812726890890995,200,5,25,10,log2,0.0822692867494338,0.5083731663649349,0.008308233151815895,0.2595126705653022,0.17812726890890995
14,0.1780864118623111,300,4,15,30,sqrt,0.08211796463050439,0.511772796646241,0.010994101524764242,0.25544834307992204,0.1780864118623111
16,0.1780864118623111,300,4,15,30,sqrt,0.08211796463050439,0.511772796646241,0.010994101524764242,0.25544834307992204,0.1780864118623111
33,0.17737584756649366,400,3,20,10,0.5,0.08241512629208587,0.5086656505191625,0.009237863671837585,0.2566179337231969,0.17737584756649366
5,0.1773045800161866,700,3,40,70,0.5,0.08244587735970063,0.5090271465638596,0.01020281737198446,0.2555360623781676,0.1773045800161866
7,0.1771928448699851,300,6,5,50,log2,0.08245760277926724,0.5073725239691755,0.006294933106311321,0.25896036387264465,0.1771928448699851
3,0.17701556596327025,400,3,25,50,0.5,0.08237606557169377,0.508913830592417,0.009163435852096868,0.2554775828460039,0.17701556596327025
36,0.17694646724043847,400,4,30,30,0.5,0.08261448136425936,0.5021244246144312,0.007304620014637869,0.26062378167641326,0.17694646724043847
4,0.17636863901359096,500,4,20,20,0.7,0.082869602507851,0.5037956338068321,0.007872132574633128,0.25775828460038985,0.17636863901359096
28,0.17557151675743687,200,3,25,20,0.4,0.08224699498853857,0.5105845875190753,0.01005264017880739,0.24968810916179338,0.17557151675743687
6,0.17542643251657947,400,4,10,60,0.7,0.08283970838907848,0.5035365998509397,0.004081940093710007,0.2579044834307992,0.17542643251657947
30,0.17515040241160384,700,7,20,30,sqrt,0.0824704630189686,0.5020778820693378,0.004918273496438406,0.2571410006497726,0.17515040241160384
8,0.17396657557895412,200,5,35,70,0.7,0.08303568702575674,0.49859503426878504,0.006446114969736888,0.2549805068226121,0.17396657557895412
12,0.17341542779973257,200,6,30,30,0.4,0.08278600204567597,0.5016883885940671,0.00832602678152994,0.25015269655620537,0.17341542779973257
20,0.1732377321421446,400,7,30,40,0.4,0.08289283945605563,0.49853160951817843,0.006009763071186833,0.2531643924626381,0.1732377321421446
34,0.17284475698769625,200,8,25,10,sqrt,0.08256720507881482,0.5008070570322779,0.008006119747338707,0.24912930474333983,0.17284475698769625
1,0.17130448750364247,400,8,15,50,0.5,0.08311980526239567,0.49921477545806114,0.00020422207116303632,0.25152696556205323,0.17130448750364247
