date,ticker,y_next_1m,pred_return,pred_rank,actual_rank,rank_error,pred_topk,actual_topk,topk_hit,pred_minus_actual
2025-04-30,BRBY.L,0.4303483069660203,0.0395516536934704,1,1,0,True,True,True,-0.39079665327254987
2025-08-31,FRES.L,0.3199105145413883,0.0185288015569015,1,1,0,True,True,True,-0.3013817129844868
2025-08-31,BAB.L,0.3090551020270839,0.0156418067391448,4,2,2,True,True,True,-0.29341329528793914
2025-08-31,ANTO.L,0.2825891598463768,0.0065066159435116,21,3,18,False,True,False,-0.2760825439028652
2025-11-30,FRES.L,0.2953682611996968,0.0315647181534306,1,1,0,True,True,True,-0.2638035430462662
2025-07-31,FRES.L,0.2772584572299286,0.0166016799869096,2,1,1,True,True,True,-0.260656777243019
2025-02-28,FRES.L,0.260606076557299,0.0074713149122259,9,1,8,True,True,True,-0.2531347616450731
2025-01-31,BAB.L,0.2462825017313377,0.0036614316964161,84,1,83,False,True,False,-0.2426210700349216
2025-01-31,RR.L,0.2277228740051593,0.0046112230041619,32,2,30,False,True,False,-0.22311165100099742
2025-05-31,FRES.L,0.2381771605198761,0.0156176130656263,4,1,3,True,True,True,-0.2225595474542498
2025-05-31,BAB.L,0.2264957565940071,0.007567469094336,18,2,16,True,True,True,-0.2189282874996711
2025-08-31,AAL.L,0.222563609323493,0.0064621351774248,22,5,17,False,True,False,-0.2161014741460682
2025-08-31,EDV.L,0.2226429751115788,0.0080511825793637,16,4,12,True,True,True,-0.2145917925322151
2025-10-31,GAW.L,0.2184556856885471,0.0045419344552293,64,1,63,False,True,False,-0.2139137512333178
2025-08-31,KGF.L,0.1993007569303262,0.0042714658757392,62,6,56,False,True,False,-0.195029291054587
2025-01-31,CCH.L,0.1957295840666708,0.0039372480536956,53,3,50,False,True,False,-0.19179233601297518
2025-05-31,ENT.L,0.2003730826207712,0.0087648807921885,13,3,10,True,True,True,-0.19160820182858268
2025-11-30,ANTO.L,0.2023205221174768,0.0124306625057442,12,2,10,True,True,True,-0.1898898596117326
2025-02-28,EDV.L,0.1785231631554837,-0.0025908600791278,93,2,91,False,True,False,-0.18111402323461148
2025-04-30,DPLM.L,0.182781873084376,0.0085916255595279,27,3,24,False,True,False,-0.1741902475248481
2025-04-30,STJ.L,0.1866481611544659,0.0151962987928212,11,2,9,True,True,True,-0.1714518623616447
2025-01-31,LLOY.L,0.170677002301127,0.0037927413391653,69,4,65,False,True,False,-0.1668842609619617
2025-08-31,BA.L,0.1715504451425051,0.0049434457468603,31,7,24,False,True,False,-0.1666069993956448
2025-03-31,III.L,0.1709071140839888,0.0046275570327713,47,1,46,False,True,False,-0.1662795570512175
2025-06-30,BATS.L,0.1666184590008794,0.0040587284731768,71,1,70,False,True,False,-0.16255973052770262
