date,ticker,y_next_1m,pred_return,pred_rank,actual_rank,rank_error,pred_topk,actual_topk,topk_hit,pred_minus_actual
2025-01-31,JD.L,-0.1241023475545886,0.0231803321827817,1,93,92,True,False,False,0.1472826797373703
2025-01-31,BRBY.L,-0.0889261744966442,0.0173575720615879,2,90,88,True,False,False,0.1062837465582321
2025-01-31,ABF.L,-0.0036804051424496,0.0134531027023667,3,45,42,True,False,False,0.0171335078448163
2025-01-31,STJ.L,0.0037951180733641,0.0103337601608509,4,39,35,True,False,False,0.0065386420874868
2025-01-31,KGF.L,0.002030824586457,0.0095380998694846,5,41,36,True,False,False,0.0075072752830276
2025-01-31,MKS.L,0.0565814113137008,0.009508632229146,6,17,11,True,True,True,-0.0470727790845548
2025-01-31,ENT.L,0.0563100654186874,0.0087787330191993,7,18,11,True,True,True,-0.0475313323994881
2025-01-31,CTEC.L,0.0502023180300899,0.0079940133437158,8,20,12,True,False,False,-0.0422083046863741
2025-01-31,STAN.L,0.1620877658146515,0.0076691791814547,9,5,4,True,True,True,-0.1544185866331968
2025-01-31,RMV.L,0.002390131029518,0.0074798026066603,10,40,30,True,False,False,0.0050896715771423
2025-01-31,EZJ.L,-0.0122645825665981,0.0069896227190423,11,53,42,True,False,False,0.0192542052856404
2025-01-31,RTO.L,-0.0020059525668419,0.0067006817951119,12,44,32,True,False,False,0.0087066343619538
2025-01-31,BKG.L,-0.0726429712365618,0.0066743854577681,13,87,74,True,False,False,0.0793173566943299
2025-01-31,SGE.L,-0.0615725940669389,0.0065678418875221,14,84,70,True,False,False,0.068140435954461
2025-01-31,UU.L,-0.0418377340040914,0.0065275659035177,15,73,58,True,False,False,0.0483652999076091
2025-01-31,GAW.L,-0.0178571428571426,0.0057863021632202,16,59,43,True,False,False,0.0236434450203628
2025-01-31,FRES.L,0.0668102737249976,0.0056343253836549,17,12,5,True,True,True,-0.06117594834134269
2025-01-31,SMIN.L,-0.0251694358033888,0.0055572571413847,18,65,47,True,False,False,0.030726692944773502
2025-01-31,ANTO.L,0.0049275211327097,0.0054738635092984,19,37,18,True,False,False,0.0005463423765887003
2025-01-31,AAF.L,-0.0124651799912378,0.0054485370517495,20,55,35,False,False,False,0.0179137170429873
2025-01-31,IHG.L,-0.0824399807454369,0.0052976924286312,21,89,68,False,False,False,0.08773767317406811
2025-01-31,EDV.L,-0.060255607544699,0.0051456479796666,22,82,60,False,False,False,0.0654012555243656
2025-01-31,WTB.L,-0.0494133781063891,0.0051229595922037,23,78,55,False,False,False,0.0545363376985928
2025-01-31,BARC.L,0.0483347643605462,0.0051221542805722,24,22,2,False,False,False,-0.043212610079974
