,importance_mean
ret_5d,0.12352613852700163
dist_252d_high,0.09898191862895253
range_20d,0.08390106154491175
ret_252d,0.08038334977805225
range_5d,0.05934354752675051
ma_ratio_60_252,0.05663300021675643
vol_120d,0.05072996628676505
abvol_20d,0.04612339400613637
ret_20d,0.04579066437152634
drawdown_60d,0.04293148592678844
vol_20d,0.0406672482335569
ma_ratio_20_60,0.0334817896232935
rsi_14d,0.03243750002595733
ret_60d,0.03130355022392302
vol_60d,0.02998591202296612
ret_120d,0.02462936255106458
ret_spread_5d_20d,0.024392116941315857
open_close_ret,0.02169713823719247
ret_spread_20d_60d,0.019393473153150334
clv_5d,0.01688988353469412
volavg_60d,0.013839286860331817
volavg_20d,0.012175407262651596
clv_20d,0.01076280451626107
