date,ticker,in_predicted_top,in_actual_top,in_predicted_bottom,in_actual_bottom,y_pred,y_true
2025-01-31,AAF.L,1,0,0,0,0.0056566198249662,-0.0124651799912378
2025-01-31,AAL.L,0,0,0,0,0.0047861062120995,-0.0186935404195907
2025-01-31,ABF.L,1,0,0,0,0.0105431372607589,-0.0036803409433641
2025-01-31,ADM.L,0,1,0,0,0.0039986171765836,0.0636330358482482
2025-01-31,ALW.L,0,0,0,1,0.0036005890937254,-0.0482882715716921
2025-01-31,ANTO.L,0,0,0,0,0.0049471676063179,0.0049274920162114
2025-01-31,AUTO.L,0,0,1,0,0.0030209534844881,-0.0187246629775372
2025-01-31,AV.L,0,1,0,0,0.0037126192187938,0.0591439040223789
2025-01-31,AZN.L,0,0,0,0,0.0037402099761157,0.0551584913306602
2025-01-31,BA.L,0,1,0,0,0.0040171847488705,0.149101385343066
2025-01-31,BAB.L,0,1,0,0,0.0041345091608094,0.2462825017313377
2025-01-31,BARC.L,0,0,0,0,0.0054727207162376,0.0483348721203247
2025-01-31,BATS.L,0,0,0,0,0.0033339149286315,-0.0344071700972136
2025-01-31,BBOX.L,0,0,0,0,0.0038759289336511,0.0082135778994982
2025-01-31,BEZ.L,0,0,1,0,0.0011001731447833,0.0459427657197086
2025-01-31,BKG.L,1,0,0,1,0.0062776265248776,-0.0726429712365618
2025-01-31,BLND.L,0,0,0,0,0.004036187314907,-0.0445388351086427
2025-01-31,BNZL.L,0,0,0,0,0.0033044945920751,-0.0232018360996085
2025-01-31,BP.L,0,0,0,0,0.0040006007621727,0.0200176208320481
2025-01-31,BRBY.L,1,0,0,1,0.0188161974912077,-0.0889261744966442
2025-01-31,BT-A.L,0,1,0,0,0.0040788326432207,0.1261452483917475
2025-01-31,BTRW.L,0,0,0,1,0.0039038348197088,-0.0632272200945108
2025-01-31,CCEP.L,1,1,0,0,0.0058684439074002,0.0656249551639942
2025-01-31,CCH.L,0,1,1,0,0.0016786128191942,0.1957295840666708
2025-01-31,CNA.L,0,0,1,0,0.0028598059002545,0.0491227449953211
2025-01-31,CPG.L,0,0,1,0,0.002653406058969,-0.0064493461369286
2025-01-31,CTEC.L,1,0,0,0,0.0059822248203882,0.0502023018990378
2025-01-31,DCC.L,0,0,0,0,0.0036505815832602,-0.0428571802418391
2025-01-31,DPLM.L,0,0,1,0,0.0024886808179581,-0.0123022371975695
2025-01-31,EDV.L,0,0,0,1,0.0047066548039215,-0.0602556030645954
2025-01-31,ENT.L,1,1,0,0,0.0126836038393236,0.0563101154723317
2025-01-31,EXPN.L,0,0,0,1,0.0036663244026771,-0.0606438670020034
2025-01-31,EZJ.L,1,0,0,0,0.0078862646371766,-0.0122645825665982
2025-01-31,FCIT.L,0,0,0,0,0.003792636443885,-0.0353536334539765
2025-01-31,FRES.L,1,1,0,0,0.0074714764972554,0.0668103673308013
2025-01-31,GAW.L,1,0,0,0,0.0072390979856905,-0.0178571428571433
2025-01-31,GSK.L,0,0,1,0,0.0029128215960252,0.0438884387041007
2025-01-31,HIK.L,0,0,1,1,0.002847547575974,-0.0575917318677295
2025-01-31,HLMA.L,0,0,1,1,0.0010635342086703,-0.0798554115712147
2025-01-31,HLN.L,0,1,0,0,0.0036405335692483,0.0632505161392869
2025-01-31,HSBA.L,0,1,0,0,0.0035348429675668,0.1039374400315638
2025-01-31,HSX.L,0,1,0,0,0.004526434676283,0.0850870683184419
2025-01-31,HWDN.L,0,0,1,1,0.0018084506050184,-0.0578915510527326
2025-01-31,ICG.L,0,0,0,0,0.003716788021681,-0.0371307910778017
2025-01-31,IHG.L,0,0,1,1,0.0024491728759509,-0.0824399700158808
2025-01-31,III.L,0,0,1,0,0.0029428091528249,0.0135758635080351
2025-01-31,IMI.L,0,0,1,0,0.002802756394303,-0.0049701976269519
2025-01-31,INF.L,0,0,1,0,0.0015955091802471,-0.0085410847024658
2025-01-31,ITRK.L,0,0,1,0,0.0019926503843207,0.0048923890435268
2025-01-31,JD.L,1,0,0,1,0.0241068442590609,-0.1241023475545883
2025-01-31,KGF.L,1,0,0,0,0.0078220357572399,0.0020308865887954
2025-01-31,LAND.L,0,0,0,0,0.0031906133748629,-0.0348852335649277
2025-01-31,LGEN.L,0,0,0,0,0.0036344939773342,0.0099049958171388
2025-01-31,LLOY.L,0,1,0,0,0.0038884332429873,0.1706769355219461
2025-01-31,LMP.L,0,0,0,0,0.0032486398815961,2.220446049250313e-16
2025-01-31,LSEG.L,0,0,0,0,0.0031063791587846,-0.0157872754460886
2025-01-31,MKS.L,1,1,0,0,0.0075450026936443,0.0565814113137008
2025-01-31,MNDI.L,0,0,1,0,0.0028053952605475,-0.0277227399007539
2025-01-31,MNG.L,0,0,0,0,0.0036606210889153,0.0148680943036858
2025-01-31,MRO.L,0,0,0,0,0.004444110611898,0.0453357611803002
2025-01-31,NG.L,0,0,0,0,0.003834620375931,-0.0048988710435509
2025-01-31,NWG.L,0,1,0,0,0.0042438310412495,0.1055184110307425
2025-01-31,NXT.L,0,0,0,0,0.0035383985510384,0.007335177190209
2025-01-31,PCT.L,0,0,1,1,0.0010979556444119,-0.1066666666666666
