date,ticker,in_predicted_top,in_actual_top,in_predicted_bottom,in_actual_bottom,y_pred,y_true
2025-01-31,AAF.L,0,0,0,0,0.0056253261864185,-0.0124651798978447
2025-01-31,AAL.L,0,0,0,0,0.0055745961144566,-0.0186935402452945
2025-01-31,ABF.L,0,0,0,0,0.0056467019021511,-0.0036804052069783
2025-01-31,ADM.L,0,1,0,0,0.0054047117009758,0.0636329427361488
2025-01-31,ALW.L,0,0,1,1,-0.0001441882923245,-0.048288270831108
2025-01-31,ANTO.L,1,0,0,0,0.0183332301676273,0.0049274922348558
2025-01-31,AUTO.L,0,0,0,0,0.0034965807572007,-0.0187247395515441
2025-01-31,AV.L,1,1,0,0,0.0163081809878349,0.0591440238058567
2025-01-31,AZN.L,0,0,1,0,-0.0068291882053017,0.0551584921777248
2025-01-31,BA.L,1,1,0,0,0.0171547010540962,0.1491013914346695
2025-01-31,BAB.L,0,1,1,0,-0.0046797068789601,0.2462825030088424
2025-01-31,BARC.L,0,0,0,0,0.0065588932484388,0.0483347661793231
2025-01-31,BBOX.L,1,0,0,0,0.0187704898416996,0.0082133682444691
2025-01-31,BEZ.L,0,0,1,0,-0.001863494515419,0.0459427684545517
2025-01-31,BKG.L,0,0,0,1,0.0128082064911723,-0.0726429745554924
2025-01-31,BLND.L,0,0,1,0,-0.0071880249306559,-0.0445388369262218
2025-01-31,BNZL.L,0,0,0,0,0.0138337993994355,-0.0232018362730741
2025-01-31,BP.L,0,0,0,0,0.0030324640683829,0.0200176946818828
2025-01-31,BRBY.L,1,0,0,1,0.0213014110922813,-0.0889261737465858
2025-01-31,BT-A.L,1,1,0,0,0.0184136200696229,0.1261452436447143
2025-01-31,BTRW.L,0,0,0,1,0.0012114481069147,-0.0632272213697433
2025-01-31,CCEP.L,1,1,0,0,0.0179533679038286,0.0656249523162841
2025-01-31,CCH.L,0,1,1,0,-0.0032974621281027,0.1957295835018158
2025-01-31,CNA.L,0,0,0,0,0.011989296413958,0.0491227433085441
2025-01-31,CPG.L,0,0,0,0,0.0068578659556806,-0.0064492765814065
2025-01-31,CRDA.L,1,0,0,0,0.0223556458950042,-0.0119617544114589
2025-01-31,CTEC.L,0,0,1,0,-0.0058619538322091,0.0502022355794906
2025-01-31,DCC.L,0,0,1,0,-0.0056989258155226,-0.0428570099174976
2025-01-31,DPLM.L,0,0,0,0,0.0131591185927391,-0.0123022375628352
2025-01-31,EDV.L,1,0,0,1,0.0169101655483245,-0.0602556057274341
2025-01-31,ENT.L,0,1,0,0,0.0144627997651696,0.0563100278377532
2025-01-31,EXPN.L,1,0,0,1,0.040022425353527,-0.0606438666582107
2025-01-31,EZJ.L,0,0,0,0,0.0122226905077695,-0.0122645823284983
2025-01-31,FCIT.L,0,0,0,0,0.0156892463564872,-0.035353634506464
2025-01-31,FRES.L,1,1,0,0,0.0268172621726989,0.0668102726340293
2025-01-31,GAW.L,0,0,1,0,-0.002200576942414,-0.0178571436554193
2025-01-31,GSK.L,1,0,0,0,0.0258808508515357,0.0438883490860462
2025-01-31,HIK.L,0,0,0,1,0.0116797098889946,-0.0575916320085525
2025-01-31,HLMA.L,0,0,0,1,0.0076525285840034,-0.0798554122447967
2025-01-31,HLN.L,0,1,1,0,-0.0029222010634839,0.0632505118846893
2025-01-31,HSBA.L,1,1,0,0,0.0203408822417259,0.1039375141263008
2025-01-31,HSX.L,0,1,1,0,-0.0081806285306811,0.0850869491696357
2025-01-31,HWDN.L,0,0,0,1,0.0123990569263696,-0.0578915514051914
2025-01-31,ICG.L,0,0,0,0,0.0100602312013506,-0.0371308922767639
2025-01-31,IHG.L,0,0,0,1,0.001173679716885,-0.0824398621916771
2025-01-31,III.L,0,0,0,0,0.0037614395841956,0.0135758630931377
2025-01-31,IMI.L,0,0,0,0,0.0068614613264799,-0.0049701975658535
2025-01-31,INF.L,1,0,0,0,0.0192999504506587,-0.0085411546751856
2025-01-31,ITRK.L,1,0,0,0,0.0211192294955253,0.0048923888243734
2025-01-31,JD.L,0,0,0,1,0.0121351573616266,-0.124102346599102
2025-01-31,KGF.L,0,0,0,0,0.0102288089692592,0.0020308864768594
2025-01-31,LAND.L,1,0,0,0,0.02123249694705,-0.0348851345479488
2025-01-31,LGEN.L,0,0,0,0,0.0103169549256563,0.0099050598219037
2025-01-31,LLOY.L,0,1,0,0,0.0155426105484366,0.1706769317388534
2025-01-31,LMP.L,0,0,0,0,0.012146333232522,4.440892098500626e-16
2025-01-31,LSEG.L,0,0,0,0,0.0144828287884593,-0.0157872755080461
2025-01-31,MKS.L,0,1,0,0,0.0070878285914659,0.0565814115107059
2025-01-31,MNDI.L,0,0,0,0,0.0106969457119703,-0.0277226436883211
2025-01-31,MNG.L,0,0,0,0,0.016275942325592,0.0148680945858359
2025-01-31,MRO.L,0,0,0,0,0.0038835080340504,0.0453357622027397
2025-01-31,NG.L,0,0,0,0,0.0109575260430574,-0.0048989951610565
2025-01-31,NWG.L,1,1,0,0,0.020334530621767,0.1055183410644531
2025-01-31,NXT.L,0,0,0,0,0.0156705453991889,0.0073351771570742
2025-01-31,PCT.L,0,0,1,1,-0.0008645532652735,-0.1066666692495346
2025-01-31,PRU.L,0,1,0,0,0.0131015386432409,0.0725449994206428
2025-01-31,PSH.L,0,0,0,0,0.0080699520185589,-0.0060350205749273
2025-01-31,PSN.L,0,0,0,1,0.0090683670714497,-0.0481832884252071
2025-01-31,PSON.L,0,0,0,0,0.0074293809011578,0.0141526041552424
2025-01-31,REL.L,0,0,0,1,0.0111510604619979,-0.0514285936951637
2025-01-31,RIO.L,0,0,0,0,0.0121367312967777,-0.0198323894292116
2025-01-31,RKT.L,0,0,0,0,0.0013136095367372,-0.0168855469673872
2025-01-31,RMV.L,0,0,1,0,-0.0008521671406924,0.0023901311215013
2025-01-31,RR.L,0,1,0,0,0.0086305802688002,0.2277228683233261
2025-01-31,RTO.L,0,0,0,0,0.0054367119446396,-0.0020059768576174
2025-01-31,SBRY.L,1,0,0,0,0.0180456936359405,0.0165094751864671
2025-01-31,SDLF.L,0,0,0,0,0.0151234799996018,-0.0086123188957571
2025-01-31,SGE.L,0,0,0,1,0.0022892977576702,-0.0615725927054882
2025-01-31,SGRO.L,0,0,0,0,0.0022968233097344,-0.0183998104184865
2025-01-31,SHEL.L,0,0,0,0,0.0077661098912358,-0.015765881165862
2025-01-31,SMIN.L,0,0,0,0,0.0104068526998162,-0.0251693669706583
2025-01-31,SMT.L,0,0,0,0,0.0102575588971376,-0.0400737226009368
2025-01-31,SPX.L,0,0,1,1,-0.0064594848081469,-0.1012971103191375
2025-01-31,SSE.L,0,0,1,1,-0.0008581886067986,-0.0634384900331497
2025-01-31,STAN.L,0,1,0,0,0.0023837033659219,0.1620878726243972
2025-01-31,STJ.L,0,0,0,0,0.0148693369701504,0.0037951180711388
2025-01-31,SVT.L,0,0,0,0,0.0055125625804066,-0.0094973063096404
2025-01-31,TSCO.L,0,0,0,0,0.0066562173888087,0.0214938558638095
2025-01-31,ULVR.L,0,0,1,0,-0.0027726655825972,-0.0312171652913093
2025-01-31,UU.L,0,0,0,0,0.0073523875325918,-0.0418376736342906
2025-01-31,VOD.L,0,0,0,0,0.0063474993221461,0.0218403525650501
2025-01-31,WEIR.L,0,0,1,0,-0.0018288162536919,0.0016486861277371
2025-01-31,WTB.L,0,0,1,1,-0.0032664528116583,-0.0494134649634361
2025-02-28,AAF.L,0,1,0,0,0.0086944587528705,0.1612903326749801
2025-02-28,AAL.L,0,0,0,0,0.0101097021251916,-0.0816855281591415
2025-02-28,ABF.L,0,0,0,0,0.0103396577760577,0.0079156048595905
2025-02-28,ADM.L,1,0,0,0,0.0139985410496592,-0.0086956983432173
2025-02-28,ALW.L,0,0,0,0,0.0085260597988963,-0.0793651491403579
2025-02-28,ANTO.L,0,0,0,0,0.0091847106814384,-0.0374963134527206
2025-02-28,AUTO.L,0,0,0,0,0.0085324849933385,-0.0404847413301467
