date,n_stocks,predicted_top_count,actual_top_count,predicted_bottom_count,actual_bottom_count,top_overlap_count,bottom_overlap_count,top_overlap_rate,bottom_overlap_rate
2025-01-31,92,18,18,18,18,7,5,0.3888888888888889,0.2777777777777778
2025-02-28,92,18,18,18,18,4,4,0.2222222222222222,0.2222222222222222
2025-03-31,92,18,18,18,18,3,4,0.16666666666666666,0.2222222222222222
2025-04-30,92,18,18,18,18,5,4,0.2777777777777778,0.2222222222222222
2025-05-31,90,18,18,18,18,2,5,0.1111111111111111,0.2777777777777778
2025-06-30,91,18,18,18,18,2,3,0.1111111111111111,0.16666666666666666
2025-07-31,91,18,18,18,18,2,4,0.1111111111111111,0.2222222222222222
2025-08-31,91,18,18,18,18,3,3,0.16666666666666666,0.16666666666666666
2025-09-30,93,18,18,18,18,3,4,0.16666666666666666,0.2222222222222222
2025-10-31,93,18,18,18,18,4,2,0.2222222222222222,0.1111111111111111
2025-11-30,93,18,18,18,18,3,2,0.16666666666666666,0.1111111111111111
