Ticker,missing_ratio
MTLN.L,0.9625629949604032
HLN.L,0.6857451403887689
MNG.L,0.43700503959683223
AAF.L,0.408207343412527
CCEP.L,0.3858891288696904
EDV.L,0.28005759539236863
PSH.L,0.1994240460763139
CTEC.L,0.16594672426205903
AUTO.L,0.019438444924406047
IAG.L,0.0017998560115190785
GLEN.L,0.0007199424046076314
CRDA.L,0.0003599712023038157
IMB.L,0.0003599712023038157
RIO.L,0.0003599712023038157
BP.L,0.0003599712023038157
BARC.L,0.0003599712023038157
DGE.L,0.0003599712023038157
SN.L,0.0003599712023038157
RR.L,0.0003599712023038157
ADM.L,0.0
BRBY.L,0.0
BNZL.L,0.0
BLND.L,0.0
BKG.L,0.0
BBOX.L,0.0
BTRW.L,0.0
AAL.L,0.0
ABF.L,0.0
BAB.L,0.0
BATS.L,0.0
BEZ.L,0.0
ANTO.L,0.0
AV.L,0.0
AZN.L,0.0
BA.L,0.0
ALW.L,0.0
FCIT.L,0.0
EZJ.L,0.0
EXPN.L,0.0
ENT.L,0.0
DPLM.L,0.0
DCC.L,0.0
CPG.L,0.0
CNA.L,0.0
BT-A.L,0.0
CCH.L,0.0
HWDN.L,0.0
HSX.L,0.0
HSBA.L,0.0
HLMA.L,0.0
GSK.L,0.0
HIK.L,0.0
IMI.L,0.0
III.L,0.0
INF.L,0.0
ITRK.L,0.0
LAND.L,0.0
LGEN.L,0.0
JD.L,0.0
KGF.L,0.0
LMP.L,0.0
LLOY.L,0.0
MKS.L,0.0
LSEG.L,0.0
ICG.L,0.0
IHG.L,0.0
GAW.L,0.0
FRES.L,0.0
NWG.L,0.0
NG.L,0.0
MRO.L,0.0
MNDI.L,0.0
PRU.L,0.0
PSN.L,0.0
PSON.L,0.0
PCT.L,0.0
REL.L,0.0
RKT.L,0.0
RMV.L,0.0
RTO.L,0.0
SBRY.L,0.0
SDLF.L,0.0
SDR.L,0.0
NXT.L,0.0
SGE.L,0.0
SGRO.L,0.0
SMIN.L,0.0
SHEL.L,0.0
SMT.L,0.0
SPX.L,0.0
SSE.L,0.0
STAN.L,0.0
STJ.L,0.0
SVT.L,0.0
TSCO.L,0.0
ULVR.L,0.0
UU.L,0.0
VOD.L,0.0
WEIR.L,0.0
WTB.L,0.0
