model,cost_scenario,cumulative_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,avg_turnover,median_turnover,max_turnover
Baseline Momentum,cost_0bps,0.38087003830555877,0.38087003830555877,0.1307125092343079,-0.06820708568143807,2.5625897601199936,0.13749999999999998,0.125,0.35
Baseline Momentum,cost_10bps,0.378628711252494,0.378628711252494,0.13084605109749972,-0.06855708568143815,2.547364134321947,0.13749999999999998,0.125,0.35
Baseline Momentum,cost_20bps,0.37639057487186234,0.37639057487186234,0.1309802532508379,-0.06890708568143811,2.53215679044586,0.13749999999999998,0.125,0.35
Ridge daily,cost_0bps,0.2176068401815121,0.2176068401815121,0.15597578862677183,-0.06111025423049177,1.3418895383453324,0.4258373205741627,0.47368421052631576,0.5789473684210527
Ridge daily,cost_10bps,0.2120077699406624,0.2120077699406624,0.15593872314641155,-0.062340154773570355,1.3121697057567634,0.4258373205741627,0.47368421052631576,0.5789473684210527
Ridge daily,cost_20bps,0.2064318165975123,0.2064318165975123,0.15590449657681527,-0.06380601865784719,1.2824123891916583,0.4258373205741627,0.47368421052631576,0.5789473684210527
Ridge daily_ohlcv,cost_0bps,0.16071627825343837,0.16071627825343837,0.1618678594848148,-0.072571106050757,0.9992713922681112,0.4545454545454545,0.47368421052631576,0.5789473684210527
Ridge daily_ohlcv,cost_10bps,0.15500268473813694,0.15500268473813694,0.1617923574406129,-0.07309742184023071,0.9688339040883688,0.4545454545454545,0.47368421052631576,0.5789473684210527
Ridge daily_ohlcv,cost_20bps,0.14931437697471517,0.14931437697471517,0.16171982707504073,-0.07362373762970442,0.9383507517630189,0.4545454545454545,0.47368421052631576,0.5789473684210527
RF daily,cost_0bps,0.35741108046839765,0.35741108046839765,0.14275822292500917,-0.037387228195302935,2.230755896353936,0.33492822966507174,0.3684210526315789,0.5789473684210527
RF daily,cost_10bps,0.35251460475409346,0.35251460475409346,0.1429113164289584,-0.038370677315478274,2.2025865052690454,0.33492822966507174,0.3684210526315789,0.5789473684210527
RF daily,cost_20bps,0.34763382449600866,0.34763382449600866,0.1430669849961947,-0.03935363890102761,2.174438263996524,0.33492822966507174,0.3684210526315789,0.5789473684210527
RF daily_ohlcv,cost_0bps,0.3834419306252168,0.3834419306252168,0.14571577554827034,-0.04583060426905761,2.3221320779995276,0.3014354066985646,0.3157894736842105,0.47368421052631576
RF daily_ohlcv,cost_10bps,0.3789698257770102,0.3789698257770102,0.14577607580409813,-0.046251656900636595,2.298425755730998,0.3014354066985646,0.3157894736842105,0.47368421052631576
RF daily_ohlcv,cost_20bps,0.3745105994566382,0.3745105994566382,0.14583838697385992,-0.04667270953221547,2.2747076720158073,0.3014354066985646,0.3157894736842105,0.47368421052631576
XGBoost daily,cost_0bps,0.3068144383753295,0.3068144383753295,0.13343210829833127,-0.045292796158787896,2.087147675877855,0.4880382775119617,0.5263157894736842,0.6842105263157895
XGBoost daily,cost_10bps,0.2999781319322832,0.2999781319322832,0.13334128006480858,-0.04597700668510374,2.0483086223333444,0.4880382775119617,0.5263157894736842,0.6842105263157895
XGBoost daily,cost_20bps,0.29317393487778487,0.29317393487778487,0.13325476678347273,-0.04666121721141947,2.00935155327059,0.4880382775119617,0.5263157894736842,0.6842105263157895
XGBoost daily_ohlcv,cost_0bps,0.2785085513371499,0.2785085513371499,0.1225485944986445,-0.05036835726718458,2.0807109645703257,0.48325358851674644,0.5263157894736842,0.6842105263157895
XGBoost daily_ohlcv,cost_10bps,0.2718990956419953,0.2718990956419953,0.12227154923350562,-0.05089467305665829,2.0419502031132466,0.48325358851674644,0.5263157894736842,0.6842105263157895
XGBoost daily_ohlcv,cost_20bps,0.26532035804556786,0.26532035804556786,0.12199850482929828,-0.051420988846132,2.0029477054702474,0.48325358851674644,0.5263157894736842,0.6842105263157895
MLP daily,cost_0bps,0.29091992863296734,0.29091992863296734,0.1357541215109976,-0.043890159973756115,1.9611353096658284,0.4497607655502392,0.47368421052631576,0.631578947368421
MLP daily,cost_10bps,0.2847147994593251,0.2847147994593251,0.13549607801600386,-0.044416475763229823,1.928357163784247,0.4497607655502392,0.47368421052631576,0.631578947368421
MLP daily,cost_20bps,0.2785364597434059,0.2785364597434059,0.13524133333642754,-0.04494279155270353,1.8954076979417989,0.4497607655502392,0.47368421052631576,0.631578947368421
MLP daily_ohlcv,cost_0bps,0.14103103701232023,0.14103103701232023,0.14019105226364292,-0.07965919957694867,1.009288311222771,0.5502392344497608,0.5789473684210527,0.7368421052631579
MLP daily_ohlcv,cost_10bps,0.1342223831560363,0.1342223831560363,0.1401207261570811,-0.0807729324711629,0.9665990358694942,0.5502392344497608,0.5789473684210527,0.7368421052631579
MLP daily_ohlcv,cost_20bps,0.12745025138630095,0.12745025138630095,0.1400554766652351,-0.0818860005454326,0.9238334002395896,0.5502392344497608,0.5789473684210527,0.7368421052631579
LSTM,cost_0bps,0.16931614437065812,0.16931614437065812,0.0885444306336424,-0.03911231841693841,1.818266767213506,0.6727272727272727,0.7,0.9
LSTM,cost_10bps,0.16083044962630288,0.16083044962630288,0.08822119853240035,-0.03976231841693845,1.7410486164114276,0.6727272727272727,0.7,0.9
LSTM,cost_20bps,0.15240011910481743,0.15240011910481743,0.08790927088986035,-0.040412318416938375,1.6630486655515675,0.6727272727272727,0.7,0.9
