model,cumulative_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,avg_turnover,median_turnover,max_turnover
Baseline Momentum,0.38087005336811575,0.38087005336811575,0.13071250544704005,-0.06820708446973589,2.5625899167639097,0.13749999999999998,0.125,0.35
Ridge daily,0.21760682486068617,0.21760682486068617,0.15597579484599755,-0.061110260850840925,1.3418894088160775,0.4258373205741627,0.47368421052631576,0.5789473684210527
Ridge daily_ohlcv,0.159957572008689,0.159957572008689,0.1614001746452071,-0.07257109320627009,0.9976741189918654,0.4593301435406698,0.47368421052631576,0.5789473684210527
RF daily,0.36969877120798866,0.36969877120798866,0.14077194415841757,-0.03614346560666071,2.3261172252675233,0.33492822966507174,0.3684210526315789,0.5789473684210527
RF daily_ohlcv,0.379055973328825,0.379055973328825,0.14438266038344144,-0.0447598827349428,2.319747654326367,0.3062200956937799,0.3157894736842105,0.47368421052631576
XGBoost daily,0.3018999444749204,0.3018999444749204,0.12577309557625552,-0.04783084183803099,2.17678311852239,0.492822966507177,0.5263157894736842,0.6842105263157895
XGBoost daily_ohlcv,0.29027117589985796,0.29027117589985796,0.12028001163665636,-0.04969014927833626,2.195510446661471,0.5167464114832535,0.5263157894736842,0.7368421052631579
MLP daily,0.1826095206952325,0.1826095206952325,0.13184700335491048,-0.07009731599398172,1.340222780538301,0.5119617224880383,0.5263157894736842,0.7894736842105263
MLP daily_ohlcv,0.151739228015358,0.151739228015358,0.1572178853702845,-0.09119849225715826,0.9760270921780494,0.5119617224880383,0.5263157894736842,0.7368421052631579
LSTM,0.13233509242311903,0.13233509242311903,0.08652118161481061,-0.03924515564137421,1.4831093164592595,0.7,0.8,0.9
