date,ticker,in_predicted_top,in_actual_top,in_predicted_bottom,in_actual_bottom,y_pred,y_true,model
2025-01-31,AAF.L,0,0,0,0,0.0023559883631001,-0.0124651799912378,Ridge daily
2025-01-31,AAL.L,0,0,0,0,0.0089107883417572,-0.0186935404195907,Ridge daily
2025-01-31,ABF.L,1,0,0,0,0.0123357373623742,-0.0036804051424496,Ridge daily
2025-01-31,ADM.L,0,1,0,0,-0.0001473021065009,0.0636329397124568,Ridge daily
2025-01-31,ALW.L,0,0,1,1,-0.0084302511859568,-0.0482882715716924,Ridge daily
2025-01-31,ANTO.L,1,0,0,0,0.0111748276236393,0.0049274920162114,Ridge daily
2025-01-31,AUTO.L,0,0,0,0,0.0026833474533337,-0.0187247402098406,Ridge daily
2025-01-31,AV.L,0,1,1,0,-0.0079488198721255,0.0591440228971908,Ridge daily
2025-01-31,AZN.L,0,0,1,0,-0.0032346749499941,0.0551584913306604,Ridge daily
2025-01-31,BA.L,0,1,0,0,0.0006592204935122,0.149101385343066,Ridge daily
2025-01-31,BAB.L,0,1,0,0,0.0006797410987494,0.2462825017313377,Ridge daily
2025-01-31,BARC.L,0,0,0,0,0.009037799706243,0.0483347643605462,Ridge daily
2025-01-31,BATS.L,0,0,1,0,-0.0020277821758106,-0.0344072465237941,Ridge daily
2025-01-31,BBOX.L,0,0,0,0,0.0010042423987886,0.0082133680149478,Ridge daily
2025-01-31,BEZ.L,0,0,0,0,0.0023476935656585,0.0459427690674982,Ridge daily
2025-01-31,BKG.L,0,0,0,1,0.007296534103782,-0.0726429712365618,Ridge daily
2025-01-31,BLND.L,0,0,0,0,0.0068362987333663,-0.0445388351086427,Ridge daily
2025-01-31,BNZL.L,0,0,0,0,-0.0001907494385891,-0.0232018360996086,Ridge daily
2025-01-31,BP.L,0,0,0,0,0.0017645713934859,0.0200176945606569,Ridge daily
2025-01-31,BRBY.L,1,0,0,1,0.0241661763411026,-0.0889261744966442,Ridge daily
2025-01-31,BT-A.L,0,1,0,0,0.0067085241467037,0.1261452483917475,Ridge daily
2025-01-31,BTRW.L,0,0,0,1,0.0045558865265923,-0.0632272200945106,Ridge daily
2025-01-31,CCEP.L,0,1,0,0,0.0039038059623323,0.0656249551639942,Ridge daily
2025-01-31,CCH.L,0,1,1,0,-0.0029605944845896,0.1957295840666708,Ridge daily
2025-01-31,CNA.L,0,0,0,0,0.0016295307651942,0.0491227449953211,Ridge daily
2025-01-31,CPG.L,0,0,0,0,-0.000289402493502,-0.0064492763833499,Ridge daily
2025-01-31,CTEC.L,0,0,0,0,0.0040759180591414,0.0502022369976598,Ridge daily
2025-01-31,DCC.L,0,0,0,0,-0.0004729511278898,-0.0428570095183812,Ridge daily
2025-01-31,DPLM.L,0,0,0,0,0.0029240721296947,-0.0123022371975695,Ridge daily
2025-01-31,EDV.L,1,0,0,1,0.0119275155882957,-0.0602556075446988,Ridge daily
