date,n_stocks,predicted_top_count,actual_top_count,predicted_bottom_count,actual_bottom_count,top_overlap_count,bottom_overlap_count,top_overlap_rate,bottom_overlap_rate,model
2025-01-31,93,18,18,18,18,4,4,0.2222222222222222,0.2222222222222222,Ridge daily
2025-02-28,93,18,18,18,18,3,5,0.16666666666666666,0.2777777777777778,Ridge daily
2025-03-31,92,18,18,18,18,2,2,0.1111111111111111,0.1111111111111111,Ridge daily
2025-04-30,92,18,18,18,18,8,7,0.4444444444444444,0.3888888888888889,Ridge daily
2025-05-31,93,18,18,18,18,7,2,0.3888888888888889,0.1111111111111111,Ridge daily
2025-06-30,94,18,18,18,18,2,1,0.1111111111111111,0.05555555555555555,Ridge daily
2025-07-31,94,18,18,18,18,5,3,0.2777777777777778,0.16666666666666666,Ridge daily
2025-08-31,94,18,18,18,18,8,3,0.4444444444444444,0.16666666666666666,Ridge daily
2025-09-30,94,18,18,18,18,5,2,0.2777777777777778,0.1111111111111111,Ridge daily
2025-10-31,94,18,18,18,18,7,5,0.3888888888888889,0.2777777777777778,Ridge daily
2025-11-30,91,18,18,18,18,8,4,0.4444444444444444,0.2222222222222222,Ridge daily
2025-01-31,93,18,18,18,18,5,7,0.2777777777777778,0.3888888888888889,Ridge daily_ohlcv
2025-02-28,93,18,18,18,18,2,0,0.1111111111111111,0.0,Ridge daily_ohlcv
2025-03-31,92,18,18,18,18,4,4,0.2222222222222222,0.2222222222222222,Ridge daily_ohlcv
2025-04-30,92,18,18,18,18,8,7,0.4444444444444444,0.3888888888888889,Ridge daily_ohlcv
2025-05-31,93,18,18,18,18,7,2,0.3888888888888889,0.1111111111111111,Ridge daily_ohlcv
2025-06-30,94,18,18,18,18,1,1,0.05555555555555555,0.05555555555555555,Ridge daily_ohlcv
2025-07-31,94,18,18,18,18,4,2,0.2222222222222222,0.1111111111111111,Ridge daily_ohlcv
2025-08-31,94,18,18,18,18,7,4,0.3888888888888889,0.2222222222222222,Ridge daily_ohlcv
2025-09-30,94,18,18,18,18,2,2,0.1111111111111111,0.1111111111111111,Ridge daily_ohlcv
2025-10-31,94,18,18,18,18,7,3,0.3888888888888889,0.16666666666666666,Ridge daily_ohlcv
2025-11-30,91,18,18,18,18,8,4,0.4444444444444444,0.2222222222222222,Ridge daily_ohlcv
2025-01-31,93,18,18,18,18,4,3,0.2222222222222222,0.16666666666666666,RF daily
2025-02-28,93,18,18,18,18,5,3,0.2777777777777778,0.16666666666666666,RF daily
2025-03-31,92,18,18,18,18,5,1,0.2777777777777778,0.05555555555555555,RF daily
2025-04-30,92,18,18,18,18,8,8,0.4444444444444444,0.4444444444444444,RF daily
2025-05-31,93,18,18,18,18,8,3,0.4444444444444444,0.16666666666666666,RF daily
2025-06-30,94,18,18,18,18,8,4,0.4444444444444444,0.2222222222222222,RF daily
2025-07-31,94,18,18,18,18,8,3,0.4444444444444444,0.16666666666666666,RF daily
2025-08-31,94,18,18,18,18,9,5,0.5,0.2777777777777778,RF daily
2025-09-30,94,18,18,18,18,6,2,0.3333333333333333,0.1111111111111111,RF daily
2025-10-31,94,18,18,18,18,5,1,0.2777777777777778,0.05555555555555555,RF daily
2025-11-30,91,18,18,18,18,7,4,0.3888888888888889,0.2222222222222222,RF daily
2025-01-31,93,18,18,18,18,5,5,0.2777777777777778,0.2777777777777778,RF daily_ohlcv
2025-02-28,93,18,18,18,18,3,2,0.16666666666666666,0.1111111111111111,RF daily_ohlcv
2025-03-31,92,18,18,18,18,8,2,0.4444444444444444,0.1111111111111111,RF daily_ohlcv
2025-04-30,92,18,18,18,18,8,7,0.4444444444444444,0.3888888888888889,RF daily_ohlcv
2025-05-31,93,18,18,18,18,8,4,0.4444444444444444,0.2222222222222222,RF daily_ohlcv
2025-06-30,94,18,18,18,18,8,6,0.4444444444444444,0.3333333333333333,RF daily_ohlcv
2025-07-31,94,18,18,18,18,7,3,0.3888888888888889,0.16666666666666666,RF daily_ohlcv
2025-08-31,94,18,18,18,18,9,4,0.5,0.2222222222222222,RF daily_ohlcv
2025-09-30,94,18,18,18,18,4,2,0.2222222222222222,0.1111111111111111,RF daily_ohlcv
2025-10-31,94,18,18,18,18,6,3,0.3333333333333333,0.16666666666666666,RF daily_ohlcv
2025-11-30,91,18,18,18,18,7,3,0.3888888888888889,0.16666666666666666,RF daily_ohlcv
2025-01-31,93,18,18,18,18,4,3,0.2222222222222222,0.16666666666666666,XGBoost daily
2025-02-28,93,18,18,18,18,5,5,0.2777777777777778,0.2777777777777778,XGBoost daily
2025-03-31,92,18,18,18,18,7,2,0.3888888888888889,0.1111111111111111,XGBoost daily
2025-04-30,92,18,18,18,18,8,4,0.4444444444444444,0.2222222222222222,XGBoost daily
2025-05-31,93,18,18,18,18,5,2,0.2777777777777778,0.1111111111111111,XGBoost daily
2025-06-30,94,18,18,18,18,6,4,0.3333333333333333,0.2222222222222222,XGBoost daily
2025-07-31,94,18,18,18,18,6,3,0.3333333333333333,0.16666666666666666,XGBoost daily
2025-08-31,94,18,18,18,18,8,6,0.4444444444444444,0.3333333333333333,XGBoost daily
2025-09-30,94,18,18,18,18,4,4,0.2222222222222222,0.2222222222222222,XGBoost daily
2025-10-31,94,18,18,18,18,4,5,0.2222222222222222,0.2777777777777778,XGBoost daily
2025-11-30,91,18,18,18,18,6,1,0.3333333333333333,0.05555555555555555,XGBoost daily
2025-01-31,93,18,18,18,18,5,8,0.2777777777777778,0.4444444444444444,XGBoost daily_ohlcv
2025-02-28,93,18,18,18,18,3,3,0.16666666666666666,0.16666666666666666,XGBoost daily_ohlcv
2025-03-31,92,18,18,18,18,7,2,0.3888888888888889,0.1111111111111111,XGBoost daily_ohlcv
2025-04-30,92,18,18,18,18,4,3,0.2222222222222222,0.16666666666666666,XGBoost daily_ohlcv
2025-05-31,93,18,18,18,18,7,1,0.3888888888888889,0.05555555555555555,XGBoost daily_ohlcv
2025-06-30,94,18,18,18,18,5,6,0.2777777777777778,0.3333333333333333,XGBoost daily_ohlcv
2025-07-31,94,18,18,18,18,5,4,0.2777777777777778,0.2222222222222222,XGBoost daily_ohlcv
2025-08-31,94,18,18,18,18,8,5,0.4444444444444444,0.2777777777777778,XGBoost daily_ohlcv
2025-09-30,94,18,18,18,18,4,5,0.2222222222222222,0.2777777777777778,XGBoost daily_ohlcv
2025-10-31,94,18,18,18,18,5,5,0.2777777777777778,0.2777777777777778,XGBoost daily_ohlcv
2025-11-30,91,18,18,18,18,6,2,0.3333333333333333,0.1111111111111111,XGBoost daily_ohlcv
2025-01-31,93,18,18,18,18,5,4,0.2777777777777778,0.2222222222222222,MLP daily
2025-02-28,93,18,18,18,18,4,4,0.2222222222222222,0.2222222222222222,MLP daily
2025-03-31,92,18,18,18,18,4,4,0.2222222222222222,0.2222222222222222,MLP daily
2025-04-30,92,18,18,18,18,6,4,0.3333333333333333,0.2222222222222222,MLP daily
2025-05-31,93,18,18,18,18,6,4,0.3333333333333333,0.2222222222222222,MLP daily
2025-06-30,94,18,18,18,18,3,2,0.16666666666666666,0.1111111111111111,MLP daily
2025-07-31,94,18,18,18,18,6,5,0.3333333333333333,0.2777777777777778,MLP daily
2025-08-31,94,18,18,18,18,9,3,0.5,0.16666666666666666,MLP daily
2025-09-30,94,18,18,18,18,5,2,0.2777777777777778,0.1111111111111111,MLP daily
2025-10-31,94,18,18,18,18,5,2,0.2777777777777778,0.1111111111111111,MLP daily
2025-11-30,91,18,18,18,18,7,3,0.3888888888888889,0.16666666666666666,MLP daily
2025-01-31,93,18,18,18,18,2,5,0.1111111111111111,0.2777777777777778,MLP daily_ohlcv
2025-02-28,93,18,18,18,18,3,2,0.16666666666666666,0.1111111111111111,MLP daily_ohlcv
2025-03-31,92,18,18,18,18,3,4,0.16666666666666666,0.2222222222222222,MLP daily_ohlcv
2025-04-30,92,18,18,18,18,6,5,0.3333333333333333,0.2777777777777778,MLP daily_ohlcv
2025-05-31,93,18,18,18,18,7,2,0.3888888888888889,0.1111111111111111,MLP daily_ohlcv
2025-06-30,94,18,18,18,18,2,2,0.1111111111111111,0.1111111111111111,MLP daily_ohlcv
2025-07-31,94,18,18,18,18,6,3,0.3333333333333333,0.16666666666666666,MLP daily_ohlcv
2025-08-31,94,18,18,18,18,5,3,0.2777777777777778,0.16666666666666666,MLP daily_ohlcv
2025-09-30,94,18,18,18,18,5,2,0.2777777777777778,0.1111111111111111,MLP daily_ohlcv
2025-10-31,94,18,18,18,18,5,3,0.2777777777777778,0.16666666666666666,MLP daily_ohlcv
2025-11-30,91,18,18,18,18,5,1,0.2777777777777778,0.05555555555555555,MLP daily_ohlcv
2025-01-31,92,18,18,18,18,7,5,0.3888888888888889,0.2777777777777778,LSTM
2025-02-28,92,18,18,18,18,4,4,0.2222222222222222,0.2222222222222222,LSTM
2025-03-31,92,18,18,18,18,3,4,0.16666666666666666,0.2222222222222222,LSTM
2025-04-30,92,18,18,18,18,5,4,0.2777777777777778,0.2222222222222222,LSTM
2025-05-31,90,18,18,18,18,2,5,0.1111111111111111,0.2777777777777778,LSTM
2025-06-30,91,18,18,18,18,2,3,0.1111111111111111,0.16666666666666666,LSTM
2025-07-31,91,18,18,18,18,2,4,0.1111111111111111,0.2222222222222222,LSTM
2025-08-31,91,18,18,18,18,3,3,0.16666666666666666,0.16666666666666666,LSTM
2025-09-30,93,18,18,18,18,3,4,0.16666666666666666,0.2222222222222222,LSTM
2025-10-31,93,18,18,18,18,4,2,0.2222222222222222,0.1111111111111111,LSTM
2025-11-30,93,18,18,18,18,3,2,0.16666666666666666,0.1111111111111111,LSTM
