model,short_label,family,feature_set,result_dir,train_cumulative_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,train_turnover,test_cumulative_return,test_annualized_return,test_annualized_volatility,test_sharpe_ratio,test_max_drawdown,test_turnover,train_rmse,train_r2,train_directional_accuracy,train_spearman,train_topk_hit_rate,test_rmse,test_r2,test_directional_accuracy,test_spearman,test_topk_hit_rate,best_stocks_avg_return,market_avg_return,worst_stocks_avg_return,best_stocks_advantage_over_market_avg,best_minus_worst,pct_months_best_above_market,best_stock_overlap_rate,worst_stock_overlap_rate
Baseline,Baseline,baseline,Baseline,c:\Users\amila\OneDrive\UH\DSP\Git\stability-aware-stock-momentum-ml\experiments\results\exp01_baseline_monthly,1.5357206655732503,0.09751418233693099,0.1306927590088907,0.7812005847252181,-0.25563349629384824,0.20625,0.378628711252494,0.378628711252494,0.13084605109749972,2.547364134321947,-0.06855708568143815,0.13749999999999998,,,,,,,,,,,,,,,,,,
Ridge daily,Ridge-Daily,ridge,Daily,c:\Users\amila\OneDrive\UH\DSP\Git\stability-aware-stock-momentum-ml\experiments\results\exp02_linear_ridge_daily,1.9309528606031443,0.1135273369169314,0.21122766044152408,0.6171660954102965,-0.36141418165469985,0.3963302752293578,0.21200780786107942,0.21200780786107942,0.15593872788811386,1.3121698745497767,-0.062340141248501735,0.4258373205741627,0.08098339517584464,0.01745721578666304,0.5305240929161067,0.019285391131561008,0.2773297923708353,0.07335996341322909,0.017623764091310834,0.5546875,0.04286254123558136,0.30143540669856456,0.0246946170738611,0.0147326796935139,0.0113255983572699,0.0099619373803471,0.0133690187165912,54.54545454545454,29.79797979797979,19.19191919191919
Ridge daily_ohlcv,Ridge-OHLCV,ridge,Daily+OHLCV,c:\Users\amila\OneDrive\UH\DSP\Git\stability-aware-stock-momentum-ml\experiments\results\exp02_linear_ridge_daily_ohlcv,2.3458996420518186,0.12836937645744828,0.21450859009439627,0.6731067480146335,-0.3851465660248514,0.42385321100917434,0.15500268473813694,0.15500268473813694,0.1617923574406129,0.9688339040883688,-0.07309742184023071,0.4545454545454545,0.08061363559019541,0.023433135167599595,0.5361480624638519,0.02754464234496089,0.2805649444712699,0.07386657187715727,0.004008773882445915,0.5615234375,0.04869245601212637,0.2727272727272727,0.0201662564622375,0.014732680092062,0.0134133976342449,0.0054335763701754,0.0067528588279926,54.54545454545454,27.777777777777768,18.18181818181818
RF daily,RF-Daily,random_forest,Daily,c:\Users\amila\OneDrive\UH\DSP\Git\stability-aware-stock-momentum-ml\experiments\results\exp04_random_forest_rolling_daily,5.044068899755895,0.19710691821514081,0.2032811680463447,0.9870166403859892,-0.26233386509835066,0.3811926605504588,0.35251460475409346,0.35251460475409346,0.1429113164289584,2.2025865052690454,-0.038370677315478274,0.33492822966507174,0.079245515983563,0.05917487909815189,0.5459781148013054,0.075922240514635,0.30137614678899083,0.0738594383215406,0.00420111117296762,0.5634765625,0.05145148589367501,0.36363636363636365,0.0344807292146306,0.0147326796935139,0.0117950269102669,0.0197480495211166,0.0226857023043636,54.54545454545454,36.868686868686865,18.686868686868678
RF daily_ohlcv,RF-OHLCV,random_forest,Daily+OHLCV,c:\Users\amila\OneDrive\UH\DSP\Git\stability-aware-stock-momentum-ml\experiments\results\exp04_random_forest_rolling_daily_ohlcv,5.812509886536054,0.2115203531866381,0.20102540102819727,1.0563051820684317,-0.26606101391854575,0.3880733944954127,0.3789698257770102,0.3789698257770102,0.14577607580409813,2.298425755730998,-0.046251656900636595,0.3014354066985646,0.07892856573094138,0.06383286486062811,0.547040678619626,0.09263693686654902,0.2987150598208059,0.07382332539344405,0.00517467364703883,0.5654296875,0.08183156386119714,0.3732057416267942,0.0349692669193571,0.014732680092062,0.0127535408464085,0.0202365868272951,0.0222157260729486,72.72727272727273,36.868686868686865,20.7070707070707
XGBoost daily,XGB-Daily,xgboost,Daily,c:\Users\amila\OneDrive\UH\DSP\Git\stability-aware-stock-momentum-ml\experiments\results\exp03_xgboost_rolling_daily,58.71237369651468,0.5052423668809871,0.20016295904747666,2.1693398279412826,-0.19353790077852306,0.6472477064220185,0.2999781319322832,0.2999781319322832,0.13334128006480858,2.0483086223333444,-0.04597700668510374,0.4880382775119617,0.07127059301444758,0.23900771356609574,0.605010558648493,0.27856684199751064,0.37810236600676006,0.0739777531352539,0.0010082321490539892,0.5361328125,0.05533279323189628,0.32057416267942584,0.0293508102551457,0.0147326796935139,0.0105980776035966,0.0146181305616318,0.0187527326515491,72.72727272727273,31.818181818181817,19.696969696969692
XGBoost daily_ohlcv,XGB-OHLCV,xgboost,Daily+OHLCV,c:\Users\amila\OneDrive\UH\DSP\Git\stability-aware-stock-momentum-ml\experiments\results\exp03_xgboost_rolling_daily_ohlcv,88.0147940143486,0.566557063417479,0.19558184789993438,2.427002387466754,-0.17170859565004049,0.6279816513761468,0.2718990956419953,0.2718990956419953,0.12227154923350562,2.0419502031132466,-0.05089467305665829,0.48325358851674644,0.0698201083956101,0.2674352683980368,0.6213610950453056,0.3171485527709512,0.38722570953377333,0.074440284142579,-0.01152278286196573,0.5546875,0.03795929711567782,0.2966507177033493,0.0275531275006021,0.014732680092062,0.0054818526433516,0.01282044740854,0.0220712748572504,72.72727272727273,29.7979797979798,22.22222222222222
MLP daily,MLP-Daily,mlp,Daily,c:\Users\amila\OneDrive\UH\DSP\Git\stability-aware-stock-momentum-ml\experiments\results\exp05_nn_mlp_daily,4.248527194721142,0.1803308143029707,0.19784905353584073,0.9360637634008937,-0.23036176521580698,0.5330275229357798,0.28471483143040355,0.28471483143040355,0.1354960940225757,1.9283571387125247,-0.04441650512294293,0.4497607655502392,0.07802812415747086,0.08785928306506663,0.5553849107314264,0.07507824971303219,0.2839208112023177,0.07440105376036799,-0.010456935787896748,0.548828125,0.08189322769794893,0.3062200956937799,0.0294272768473363,0.0147326796935139,0.0133046010173718,0.0146945971538224,0.0161226758299645,63.63636363636363,30.303030303030297,18.686868686868678
MLP daily_ohlcv,MLP-OHLCV,mlp,Daily+OHLCV,c:\Users\amila\OneDrive\UH\DSP\Git\stability-aware-stock-momentum-ml\experiments\results\exp05_nn_mlp_daily_ohlcv,4.2096855434388925,0.17945438949211145,0.18758364022918558,0.9731234305965848,-0.22402753981941925,0.6155963302752293,0.1342223831560363,0.1342223831560363,0.1401207261570811,0.9665990358694942,-0.0807729324711629,0.5502392344497608,0.07767915610754136,0.09323663286483008,0.5476190476190477,0.08286437948612523,0.27059123343527014,0.07436785259581387,-0.009555285933614321,0.572265625,-0.04201597012415892,0.24880382775119617,0.0157349145590631,0.014732680092062,0.0187563841554817,0.0010022344670011,-0.0030214695964185,54.54545454545454,24.74747474747474,16.16161616161616
LSTM,LSTM-Daily,lstm,Daily,c:\Users\amila\OneDrive\UH\DSP\Git\stability-aware-stock-momentum-ml\experiments\results\exp06_lstm_daily,0.9015859568742881,0.06637902980348787,0.14604835464318436,0.5137735436127491,-0.23875990230610966,0.7156250000000001,0.16083048247350518,0.16083048247350518,0.08822118759724233,1.7410491468999492,-0.0397623048740019,0.6727272727272727,0.07934151704664433,0.06168306148452407,0.5551795450272607,-0.0012539973166562407,0.20513001253132832,0.07433960677755674,-0.001352182159055415,0.5514851485148515,0.021651980647333178,0.19670388091440724,0.0166929136627151,0.0145687475766912,0.0129453456386479,0.0021241660860239,0.0037475680240672,54.54545454545454,19.19191919191919,20.2020202020202
