short_label,train_spearman,test_spearman,train_topk_hit_rate,test_topk_hit_rate
Baseline,,,,
Ridge-Daily,0.019285391131561008,0.04286254123558136,0.2773297923708353,0.30143540669856456
Ridge-OHLCV,0.02754464234496089,0.04869245601212637,0.2805649444712699,0.2727272727272727
RF-Daily,0.075922240514635,0.05145148589367501,0.30137614678899083,0.36363636363636365
RF-OHLCV,0.09263693686654902,0.08183156386119714,0.2987150598208059,0.3732057416267942
XGB-Daily,0.27856684199751064,0.05533279323189628,0.37810236600676006,0.32057416267942584
XGB-OHLCV,0.3171485527709512,0.03795929711567782,0.38722570953377333,0.2966507177033493
MLP-Daily,0.07507824971303219,0.08189322769794893,0.2839208112023177,0.3062200956937799
MLP-OHLCV,0.08286437948612523,-0.04201597012415892,0.27059123343527014,0.24880382775119617
LSTM-Daily,-0.0012539973166562407,0.021651980647333178,0.20513001253132832,0.19670388091440724
