short_label,best_stocks_avg_return,market_avg_return,worst_stocks_avg_return,best_stocks_advantage_over_market_avg,best_minus_worst,pct_months_best_above_market,best_stock_overlap_rate,worst_stock_overlap_rate
Baseline,,,,,,,,
Ridge-Daily,0.0246946170738611,0.0147326796935139,0.0113255983572699,0.0099619373803471,0.0133690187165912,54.54545454545454,29.79797979797979,19.19191919191919
Ridge-OHLCV,0.0201662564622375,0.014732680092062,0.0134133976342449,0.0054335763701754,0.0067528588279926,54.54545454545454,27.777777777777768,18.18181818181818
RF-Daily,0.0344807292146306,0.0147326796935139,0.0117950269102669,0.0197480495211166,0.0226857023043636,54.54545454545454,36.868686868686865,18.686868686868678
RF-OHLCV,0.0349692669193571,0.014732680092062,0.0127535408464085,0.0202365868272951,0.0222157260729486,72.72727272727273,36.868686868686865,20.7070707070707
XGB-Daily,0.0293508102551457,0.0147326796935139,0.0105980776035966,0.0146181305616318,0.0187527326515491,72.72727272727273,31.818181818181817,19.696969696969692
XGB-OHLCV,0.0275531275006021,0.014732680092062,0.0054818526433516,0.01282044740854,0.0220712748572504,72.72727272727273,29.7979797979798,22.22222222222222
MLP-Daily,0.0294272768473363,0.0147326796935139,0.0133046010173718,0.0146945971538224,0.0161226758299645,63.63636363636363,30.303030303030297,18.686868686868678
MLP-OHLCV,0.0157349145590631,0.014732680092062,0.0187563841554817,0.0010022344670011,-0.0030214695964185,54.54545454545454,24.74747474747474,16.16161616161616
LSTM-Daily,0.0166929136627151,0.0145687475766912,0.0129453456386479,0.0021241660860239,0.0037475680240672,54.54545454545454,19.19191919191919,20.2020202020202
