Model,Train Cumulative Return,Train Sharpe Ratio,Train Turnover,Test Cumulative Return,Test Sharpe Ratio,Test Max Drawdown,Test Turnover
Baseline,1.536,0.781,0.206,0.379,2.547,-0.069,0.137
Ridge-Daily,1.931,0.617,0.396,0.212,1.312,-0.062,0.426
Ridge-OHLCV,2.346,0.673,0.424,0.155,0.969,-0.073,0.455
RF-Daily,5.044,0.987,0.381,0.353,2.203,-0.038,0.335
RF-OHLCV,5.813,1.056,0.388,0.379,2.298,-0.046,0.301
XGB-Daily,58.712,2.169,0.647,0.3,2.048,-0.046,0.488
XGB-OHLCV,88.015,2.427,0.628,0.272,2.042,-0.051,0.483
MLP-Daily,4.249,0.936,0.533,0.285,1.928,-0.044,0.45
MLP-OHLCV,4.21,0.973,0.616,0.134,0.967,-0.081,0.55
LSTM-Daily,0.902,0.514,0.716,0.161,1.741,-0.04,0.673
